scheme_name,link,authority,source,description,main_category,gender,caste_category,income_group,age_group,sector,benefit_type,occupation,disability_status,marital_family_status,raw_tag_1,raw_tag_2,raw_tag_3,raw_tag_4,raw_tag_5,raw_tag_6,raw_tag_7,raw_tag_8,raw_tag_9,raw_tag_10,raw_tag_11,raw_tag_12,raw_tag_13,raw_tag_14,raw_tag_15
"National Award For Senior Citizens (Vayoshreshtha Samman): Best State In Implementing The Maintenance And Welfare Of Parents And Senior Citizens Act, 2007, And Providing Services And Facilities To Senior Citizens",https://www.myscheme.gov.in/schemes/nassvsbsimwpscapsfsc,,india_only,"The ""Vayoshreshtha Samman: Best State in Implementing the Maintenance and Welfare of Parents and Senior Citizens Act, 2007, and Providing Services and Facilities to Senior Citizens"" award is given to the State/UT which has taken the lead in implementing various provisions of the act.",Social Welfare,All,All / Not Specified,Not Specified,Senior Citizen,Public Administration / Welfare,Not Specified,Not Specified,Not Specified,Not Specified,Award,Institution,State Government,Senior Citizen,Social Welfare,Parents,Public Administration / Welfare,Implementing,Act,Citizens,,,,,
National Award For Senior Citizens (Vayoshreshtha Samman): Centenarian,https://www.myscheme.gov.in/schemes/nassvsc,,india_only,"The award is conferred to the eminent and outstanding senior citizens and institutions/organizations involved in rendering distinguished service for the cause of elderly persons, especially indigent senior citizens. The awards are conferred on 1st October every year by the Hon’ble President of India",Social Welfare,All,All / Not Specified,Not Specified,Senior Citizen,Public Administration / Welfare,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Award,Financial Assistance,Senior Citizen,Social Welfare,Centenarian,Public Administration / Welfare,Financial Assistance / Grant,Conferred,Citizens,Rendering,,,,,
National Award For Senior Citizens (Vayoshreshtha Samman): Lifetime Achievement,https://www.myscheme.gov.in/schemes/nassvsla,,india_only,"The ""Lifetime Achievement Award"" is conferred to eminent and outstanding senior citizens, preferably above seventy years, who have worked in the field of ageing and made significant contributions in the field, for the cause of elderly persons, especially indigent senior citizens.",Social Welfare,All,All / Not Specified,Not Specified,Senior Citizen,Public Administration / Welfare,Not Specified,Not Specified,Not Specified,Not Specified,Award,Senior Citizen,Social Welfare,Lifetime Achievement,Public Administration / Welfare,Field,Citizens,Ageing,Cause Elderly,Conferred Eminent,,,,,
National Award For Senior Citizens (vayoshreshtha Samman): Best Institution For Providing Services To Senior Citizens And Awareness Generation,https://www.myscheme.gov.in/schemes/nassvsbisscag,,india_only,"The ""Vayoshreshtha Samman: Best Institution for Providing Services to Senior Citizens and Awareness Generation"" award shall be given to institutions with a record of providing services to the elderly, especially indigent senior citizens. The awards are conferred on 1st October every year.",Social Welfare,All,All / Not Specified,Not Specified,Senior Citizen,Public Administration / Welfare,Not Specified,Not Specified,Not Specified,Not Specified,Institution,Award,Awareness,Social Welfare,Senior Citizen,Public Administration / Welfare,Citizens,Services,Indigent Senior,Especially Indigent,,,,,
National Award For Senior Citizens (vayoshreshtha Samman): Best Institution For Research In The Field Of Ageing,https://www.myscheme.gov.in/schemes/nassvsbira,,india_only,"The ""Vayoshreshtha Samman: Best Institution for Research in the Field of Ageing"" award shall be given to institutions with a record of outstanding work in research and dissemination of knowledge in the field of ageing. The awards are conferred on 1st Oct every year by the Hon’ble President of India.",Social Welfare,All,All / Not Specified,Not Specified,Senior Citizen,Public Administration / Welfare,Not Specified,Not Specified,Not Specified,Not Specified,Institution,Award,Social Welfare,Senior Citizen,Research,Public Administration / Welfare,Ageing,Field,Conferred Oct,Dissemination,,,,,
National Award For Senior Citizens (vayoshreshtha Samman): Best Urban Local Body In Providing Services And Facilities To Senior Citizens,https://www.myscheme.gov.in/schemes/nassvsbulbpsfsc,,india_only,"The ""Vayoshreshtha Samman: Best Urban Local Body in Providing Services and Facilities to Senior Citizens"" award shall be given to municipal bodies, which have done outstanding work for senior citizens. The awards are conferred on 1st Oct by the Hon’ble President of India at Vigyan Bhawan, Delhi.",Social Welfare,All,All / Not Specified,Not Specified,Senior Citizen,Public Administration / Welfare,Not Specified,Not Specified,Not Specified,Not Specified,Award,Institution,Senior Citizen,Urban Local Body,ULB,Social Welfare,Public Administration / Welfare,Citizens,Municipal Bodies,Work Senior,,,,,
National Award For Senior Citizens (vayoshreshtha Samman): Courage & Bravery,https://www.myscheme.gov.in/schemes/nassvscb,,india_only,"The ""Vayoshreshtha Samman: Courage & Bravery"" award shall be given to senior citizens who have displayed extraordinary courage in the face of grave danger. The awards are conferred on 1st October every year by the Hon’ble President of India at Vigyan Bhawan, New Delhi.",Social Welfare,All,All / Not Specified,Not Specified,Senior Citizen,Public Administration / Welfare,Not Specified,Not Specified,Not Specified,Not Specified,Award,Social Welfare,Sports,Senior Citizen,Public Administration / Welfare,Courage,Bhawan New,Displayed,Vigyan Bhawan,New Delhi,,,,,
National Award For Senior Citizens (vayoshreshtha Samman): Creative Art,https://www.myscheme.gov.in/schemes/nassvsaca,,india_only,"The ""Vayoshreshtha Samman: Creative Art"" award shall be given to winners of National or international acclaim for their contribution to literature, theatre, cinema, music, dance, painting, sculpture, photography, etc. and who continue to be active in their field well into their old age. The awards a",Social Welfare,All,All / Not Specified,Not Specified,Senior Citizen,Public Administration / Welfare,Not Specified,Not Specified,Not Specified,Not Specified,Award,Senior Citizen,Art,Social Welfare,Public Administration / Welfare,International Acclaim,Photography,Cinema,Creative,Music Dance,,,,,
National Award For Senior Citizens (vayoshreshtha Samman): Iconic Mother,https://www.myscheme.gov.in/schemes/nassvsim,,india_only,"The award is conferred to the eminent and outstanding senior citizens and institutions/organizations involved in rendering distinguished service for the cause of elderly persons, especially indigent senior citizens. The awards are conferred on 1st October every year by the Hon’ble President of India",Social Welfare,Women,All / Not Specified,Not Specified,Senior Citizen,Public Administration / Welfare,Not Specified,Not Specified,Not Specified,Not Specified,Mother,Award,Social Welfare,Senior Citizen,Women,Public Administration / Welfare,Conferred,Citizens,Rendering,Organizations Involved,,,,,
National Award For Senior Citizens (vayoshreshtha Samman): Sports And Adventure,https://www.myscheme.gov.in/schemes/nassvssa,,india_only,"The ""Vayoshreshtha Samman: Sports and Adventure"" award shall be given to senior citizens who have won international acclaim and who continue to contribute in the field of sports and adventure. The awards are conferred every year by the Hon’ble President of India at Vigyan Bhawan, New Delhi.",Social Welfare,All,All / Not Specified,Not Specified,Senior Citizen,Public Administration / Welfare,Not Specified,Not Specified,Not Specified,Not Specified,Award,Senior Citizen,Social Welfare,Sports,Adventure,Public Administration / Welfare,International Acclaim,Bhawan New,Won,Vigyan Bhawan,,,,,
National Award for Individual Excellence,https://www.myscheme.gov.in/schemes/nafie,Ministry of Social Justice and Empowerment,myscheme,"The objective of this scheme is to recognize and encourage individuals working for the empowerment of persons with disabilities, including those covered under the Rights of Persons with Disabilities Act, 2016.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Disabilities,Divyangjan,Hearing Impairment,National Award,Visual Impairment,Working Empowerment,Encourage Individuals,Persons,Recognize Encourage,Individuals Working,,,,,
National Award to Teachers (For Excellence in Vocational Training and Entrepreneurship Development),https://www.myscheme.gov.in/schemes/nattfeivtaed,Ministry of Skill Development And Entrepreneurship,myscheme,The objective of this scheme is to recognize and honor excellence in vocational training and entrepreneurship development by faculty and trainers.,Employment & Skill Development,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Skill Training,Not Specified,Not Specified,Not Specified,Entrepreneurship,National Award,Teachers,Training,Employment & Skill Development,Skill Training,Trainers,Recognize Honor,Faculty,Vocational,,,,,
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Niyoktha,https://www.myscheme.gov.in/schemes/naepwdnaieepwddklsn,Ministry of Social Justice and Empowerment,myscheme,"The ""Divyangjano Ke Liye Sarvshrestha Niyoktha"" award is given by DoEPwD to the outstanding employers of the disabled under: 
1.  Government organization.
2.  Public Sector Undertaking or Autonomous Body or Local Government Body.
3.  Private or Non-Governmental Organization.",Health,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Persons with Disability,Not Specified,Award,Institution,NGO,Person With Disability,Private Sector Organization,Public Sector Organization,Health,Persons with Disability,,,,,,,
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,https://www.myscheme.gov.in/schemes/naepwdnaieepwddklspa,Ministry of Social Justice and Empowerment,myscheme,"The ""Divyangjano Ke Liye Sarvshrestha Placement Agency"" award is given by DoEPwD to the placement agency of PwDs (excluding Govt./State Govt./local bodies). The ceremony of the National Awards is held at Vigyan Bhawan. The National Awards are conferred by the Hon'ble President / Vice President.",Health,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Persons with Disability,Not Specified,Agency,Award,Person With Disability,Placement,Health,Persons with Disability,President,National,Divyangjano,Sarvshrestha,,,,,
"National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjanon Ke Sashaktikaran Men Karyrat Sarveshrestha Sansthan (Private Organization, NGO)",https://www.myscheme.gov.in/schemes/naepwdnaieepwddksmksspriongo,Ministry of Social Justice and Empowerment,myscheme,"The ""Divangjano ke Shashaktikaran Mein Karyrat Sarveshrestha Sansthan"" award is given by DoEPwD to an organization working for the empowerment of Persons with Disabilities for a minimum period of 10 years after registration under Society Act/ Trust Act / Section 8 of Companies Act 2013.",Health,Men,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Persons with Disability,Not Specified,Award,Citizen Empowerment,Institution,NGO,Person With Disability,Private Organization,Health,Men,Persons with Disability,,,,,,
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Sugamya Bharat Abhiyan Ke Karyanvayan/badhamukta Vatavaran Ke Srijan Mein Sarvshrestha Rajya/ Ut/ Zila,https://www.myscheme.gov.in/schemes/naepwdnaieepwdsbakkbvksmsrutz,Ministry of Social Justice and Empowerment,myscheme,"The award is given by DoEPwD for outstanding work in Sugamya Bharat Abhiyan and the creation of a barrier-free environment/working conditions for persons with disabilities, the working place with easy mobility, toilet facilities, directions in sign language, etc.",Health,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Infrastructure / In-kind,Not Specified,Persons with Disability,Not Specified,Award,District,Person With Disability,Social Welfare,Health,Public Administration / Welfare,Infrastructure / In-kind,Persons with Disability,,,,,,,
National Awards For Outstanding Services In The Field Of Prevention Of Alcoholism And Substance (Drug) Abuse: Best Awareness Campaign,https://www.myscheme.gov.in/schemes/naospasa-bac,,india_only,"To recognize the efforts, and, encourage excellence in the Prevention of Alcoholism and Substance (Drugs) Abuse and the rehabilitation of its victims, awards will be presented for the most effective or outstanding services in the prevention of Alcoholism and Substance (Drug) Abuse.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Award,Drug,Alcohol,Awareness,Campaign,Substance,Abuse,Prevention,Effective Outstanding,Encourage Excellence,,,,,
National Awards For Outstanding Services In The Field Of Prevention Of Alcoholism And Substance (Drug) Abuse: Best Educational Institution Doing Outstanding Work In Awareness Generation And Prevention Of Alcoholism And Substance (Drug) Abuse,https://www.myscheme.gov.in/schemes/naospasa-beidowagpasa,,india_only,"The Scheme of ""National Awards for Outstanding Services in the field of Prevention of Alcoholism and Substance (Drug) Abuse"" by the MoSJE, GoI shall be applicable to Institutions and Individuals working in the field of Prevention of Alcoholism and Substance (Drug) Abuse.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Rehabilitation,Drug Abuse,Alcoholism,Award,Field Prevention,Substance,Abuse Mosje,Mosje Goi,Applicable Institutions,Services Field,,,,,
National Awards For Outstanding Services In The Field Of Prevention Of Alcoholism And Substance (Drug) Abuse: Best Integrated Rehabilitation Centre For Addicts (IRCA) For Providing Rehabilitation Services To Alcoholics And Drug Users,https://www.myscheme.gov.in/schemes/naospasa-bircarsadu,,india_only,"The Scheme of ""National Awards for Outstanding Services in the field of Prevention of Alcoholism and Substance (Drug) Abuse"" by the MoSJE, GoI shall be applicable to Institutions and Individuals working in the field of Prevention of Alcoholism and Substance (Drug) Abuse.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Rehabilitation,Drug Abuse,Alcoholism,Award,Field Prevention,Substance,Abuse Mosje,Mosje Goi,Applicable Institutions,Services Field,,,,,
National Awards For Outstanding Services In The Field Of Prevention Of Alcoholism And Substance (Drug) Abuse: Best Panchayati Raj Or Municipal Body Working For Prevention Of Alcoholism And Substance (Drug) Abuse,https://www.myscheme.gov.in/schemes/naospasa-bpjmbpasa,,india_only,"The Scheme of ""National Awards for Outstanding Services in the field of Prevention of Alcoholism and Substance (Drug) Abuse"" by the MoSJE, GoI shall be applicable to Institutions and Individuals working in the field of Prevention of Alcoholism and Substance (Drug) Abuse.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Rehabilitation,Drug Abuse,Alcoholism,Award,Field Prevention,Substance,Abuse Mosje,Mosje Goi,Applicable Institutions,Services Field,,,,,
National Awards For Outstanding Services In The Field Of Prevention Of Alcoholism And Substance (Drug) Abuse: Outstanding Achievement By An Individual,https://www.myscheme.gov.in/schemes/naospasa-oai,,india_only,"To recognize the efforts, and, encourage excellence in the Prevention of Alcoholism and Substance (Drugs) Abuse and the rehabilitation of its victims, awards will be presented for the most effective or outstanding services in the prevention of Alcoholism and Substance (Drug) Abuse.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Award,Drug,Alcohol,Awareness,Campaign,Substance,Abuse,Prevention,Effective Outstanding,Encourage Excellence,,,,,
National Awards To Teachers (Higher Education),https://www.myscheme.gov.in/schemes/natthe,Ministry of Education,myscheme,The purpose of National Awards to Teachers is to celebrate the unique contribution of some of the finest teachers in the country and to honor those teachers who through their commitment and industry have not only improved the quality of school education but also enriched the lives of their students.,Education,All,All / Not Specified,Not Specified,All Ages,Education,Not Specified,Not Specified,Not Specified,Not Specified,Awards,Educational,National,Teacher,Education,Lives Students,Industry Improved,Commitment Industry,Enriched Lives,Celebrate Unique,,,,,
National Awards for e-Governance,https://www.myscheme.gov.in/schemes/naeg,"Ministry of Personnel, Public Grievances And Pensions",myscheme,"The scheme aims to recognize excellence in e-governance. It provides awards and incentives up to ₹10,00,000 to outstanding initiatives.",Education,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Academic Institution,Award,Financial Assistance,Research Organization,Startup,Education,Financial Assistance / Grant,E-governance,Recognize Excellence,Initiatives,,,,,
National Awards to Teachers,https://www.myscheme.gov.in/schemes/nat,Ministry of Education,myscheme,"""National Awards to Teachers"" aims to celebrate the contributions of outstanding teachers and enhance the quality of school education. This award provides public recognition and honours the commitment of teachers, benefiting meritorious teachers working in primary, middle, and secondary schools.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Not Specified,Student,Not Specified,Not Specified,Award,Education,School,Student,Teacher,Student / Youth,Commitment,Enhance Quality,Middle,Celebrate,,,,,
National Bamboo Mission,https://www.myscheme.gov.in/schemes/nbm,Ministry of Agriculture and Farmers Welfare,myscheme,Restructured National Bamboo Mission was launched during 2018-19 as a Centrally Sponsored Scheme (CSS) after the historical amendment of the Indian Forest Act during 2017 to exclude bamboo out from definition of tree.,Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Bamboo Marketing,Bamboo Plantation,Product Development,Quality Planting Material,Css,Historical,Tree,Forest,Centrally Sponsored,Act,,,,,
National Beekeeping & Honey Mission,https://www.myscheme.gov.in/schemes/nbhm,,india_only,National Beekeeping & Honey Mission (NBHM) was announced as part of the Atmanirbhar Bharat Abhiyaan and aims  for the overall promotion & development of scientific beekeeping in the country to achieve the goal of ‘Sweet Revolution’ which is being implemented through National Bee Board (NBB),Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Honey FPO,Beekeeper,Farmers,Entrepreneurs,Start Up,Beekeeping,National,Revolution,Abhiyaan,Atmanirbhar Bharat,,,,,
National Bio Energy Programme - Uttarakhand Renewable Energy Development Agency,https://www.myscheme.gov.in/schemes/nbepureda,Uttarakhand,myscheme,"The scheme aims to promote the use of biogas as a clean and renewable energy source, help livestock farmers set up biogas plants, reduce the use of conventional fuels, and support eco-friendly rural development in the state.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Not Specified,Farmer,Not Specified,Not Specified,Bio Energy,Biogas,Cattle Rearer,Cooking Gas,Livestock Farmer,UREDA,Agriculture,Farmer,,,,,,,
National CSR Awards,https://www.myscheme.gov.in/schemes/nca,Ministry of Corporate Affairs,myscheme,"The objective of the scheme is to promote excellence in CSR activities, encourage effective use of CSR funds, and ensure that benefits reach marginalized and remote communities.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Awards,Companies,Corporate,Industries,Promote Excellence,Reach,Funds,Remote,Marginalized,Effective,,,,,
National Career Service Centers For SC/STs (erstwhile Coaching-cum-Guidance Centre for SC/STs),https://www.myscheme.gov.in/schemes/ncscscst,Ministry of Labour and Employment,myscheme,"The scheme provides vocational guidance, confidence-building programmes, personality development sessions, practice in typing and shorthand, special coaching for competitive exams, and computer training courses. The applicant must be an educated, unemployed SC/ST jobseeker.",Education,All,SC,Not Specified,Student / Youth,General / Not Specified,Financial Assistance / Grant,Student,Not Specified,Not Specified,Coaching,Counselling,Scheduled Caste,Scheduled Tribe,Stipend,Student,Training,Education,SC,Student / Youth,Financial Assistance / Grant,,,,
National Centre For Communication Security (NCCS) Internship Scheme,https://www.myscheme.gov.in/schemes/nccsis,Ministry of Communication,myscheme,The National Centre for Communication Security (NCCS) Internship Scheme allows young talent to be associated with the NCCS work for mutual benefit. It will enable NCCS to interact with young scholars and to get fresh ideas and study/ research support from the field of academics.,Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Skill Training,Student,Not Specified,Not Specified,Bengaluru,Cybersecurity,DoT,Education,Graduation,Internship,Training,Student,Student / Youth,Skill Training,,,,,
National Centre for Communication Security (NCCS) Research Associates Scheme,https://www.myscheme.gov.in/schemes/nccsra,Ministry of Communication,myscheme,"NCCS engages young scholars as Research Associates  to contribute in development of Telecom Security eco system with in India by providing an opportunity to them to work in areas like Telecom Security Standard development, Lab recognition and Security Certification of telecom products.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Bengaluru,Cybersecurity,DoT,ITSAR,Research,Telecommunications,Associates,Nccs,Opportunity Work,Areas Like,,,,,
National Centre for Earth Science Studies Internship Scheme,https://www.myscheme.gov.in/schemes/ncessis,,india_only,"The “National Centre for Earth Science Studies Internship” scheme by the Earth System Science Organization, Ministry of Earth Sciences, provides various opportunities for school as well as college students to familiarise and/or pursue research on different branches of earth sciences.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Skill Training,Student,Not Specified,Not Specified,Internship,Student,Research Scholar,Post Graduation,Graduation,Training,Education,Student / Youth,Skill Training,,,,,,
National Dhanwantari Ayurveda Award,https://www.myscheme.gov.in/schemes/ndaa,Ministry of Ayush,myscheme,"The objective of the award is to motivate vaidyas and Ayurveda experts to adopt and showcase best practices in Ayurveda, promoting high standards of excellence. The award also aims to encourage innovation and outstanding performance in the field through healthy competition.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Award,Ayurved,International Level,National Dhanwantari,Encourage Innovation,High Standards,Promoting High,Best Practices,Showcase,Outstanding Performance,,,,,
National Disabled Finance and Development Corporation,https://www.myscheme.gov.in/schemes/ndfadc,Himachal Pradesh,myscheme_only,The objective of this scheme is to make Persons with Disabilities self-reliant by providing loan facilities through the Himachal Pradesh Minority Finance and Development Corporation (Channelizing Agency) within the State for establishing self-employment ventures.,Employment & Skill Development,All,Minority,Not Specified,All Ages,General / Not Specified,Loan / Credit,Not Specified,Persons with Disability,Not Specified,Corporation,Disabled,Finance,Loans,Unemployed,Employment & Skill Development,Minority,Loan / Credit,Persons with Disability,,,,,,
National Energy Conservation Award,https://www.myscheme.gov.in/schemes/neca,Ministry of Power,myscheme,The scheme aims to recognize and reward organizations for their exemplary efforts in energy conservation and energy efficiency.,Housing & Infrastructure,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Building,Electricity,Industries,National Award,Transport,Housing & Infrastructure,Energy,Exemplary,Recognize Reward,Efforts,,,,,
National Family Assistance Scheme (Madhya Pradesh),https://www.myscheme.gov.in/schemes/nfasmp,Madhya Pradesh,myscheme,"Launched on 15th August 1995, the ""National Family Assistance Scheme"" by the Department of Social Welfare, Government of Madhya Pradesh provides ₹20,000/- to ensure social security for bereaved families living below the poverty line in case of death of their breadwinner.",Social Welfare,All,All / Not Specified,BPL / EWS / Low Income,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Below Poverty Line,Death,Family,Financial Assistance,Social Welfare,BPL / EWS / Low Income,Public Administration / Welfare,Financial Assistance / Grant,,,,,,,
National Family Assistance Scheme- Chhattisgarh,https://www.myscheme.gov.in/schemes/nfaschh,Chhattisgarh,myscheme,"Under this scheme, financial assistance of ₹20,000/- is provided to the bereaved household in the case of the natural, unnatural, or accidental death of the primary breadwinner of a family living Below the Poverty Line (BPL).",Other / Uncategorized,All,All / Not Specified,BPL / EWS / Low Income,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,BPL,Death Of Breadwinner,Family,Financial Assistance,BPL / EWS / Low Income,Financial Assistance / Grant,Bereaved Household,Death Primary,Case Natural,Primary Breadwinner,,,,,
National Family Benefit Scheme,https://www.myscheme.gov.in/schemes/nfbs,Ministry of Rural Development,myscheme,"A family welfare scheme under the umbrella scheme ‘National Social Assistance Programme’ (NSAP) by MoRD. In this scheme, financial assistance is provided to the bereaved households in case of the death of the primary breadwinner irrespective of the cause of death.",Social Welfare,All,All / Not Specified,BPL / EWS / Low Income,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Below Poverty Line,BPL,Family,Household,Social Welfare,BPL / EWS / Low Income,Public Administration / Welfare,Financial Assistance / Grant,,,,,,,
National Family Benefit Scheme (Jammu and Kashmir),https://www.myscheme.gov.in/schemes/nfbsjak,Jammu and Kashmir,myscheme,"Launched on 15th August 1995, the ""National Family Assistance Scheme"" by the Department of Social Welfare, Union Territory of Jammu and Kashmir provides ₹20,000/- to ensure social security for bereaved families living below the poverty line in case of death of their breadwinner.",Social Welfare,All,All / Not Specified,BPL / EWS / Low Income,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Below Poverty Line,Death,Family,Financial Assistance,Social Welfare,BPL / EWS / Low Income,Public Administration / Welfare,Financial Assistance / Grant,,,,,,,
National Family Benefit Scheme (Maharashtra),https://www.myscheme.gov.in/schemes/nfbsm,Maharashtra,myscheme,"The scheme ""National Family Benefit Scheme (Maharashtra)"" is a social welfare scheme by the Social Justice & Special Assistance Department, Government of Maharashtra. Under this scheme, ₹20,000/-. is provided to the family in the event of the death of their primary breadwinner.",Social Welfare,All,All / Not Specified,BPL / EWS / Low Income,All Ages,Public Administration / Welfare,Pension,Not Specified,Not Specified,Not Specified,Below Poverty Line,BPL,Death,Family,Pension,Social Welfare,BPL / EWS / Low Income,Public Administration / Welfare,,,,,,,
National Family Benefit Scheme (Punjab),https://www.myscheme.gov.in/schemes/nfbsp,Punjab,myscheme,"The scheme ""National Family Benefit Scheme (Punjab)"" by the Department of Social Security and Development of Women and Children, Government of Punjab, provides a lump sum assistance of ₹20,000/- is provided to the bereaved household in the event of the death of their breadwinner.",Social Welfare,Women,All / Not Specified,BPL / EWS / Low Income,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,BPL,Death,Family,Financial Assistance,Pension,Social Welfare,Women,BPL / EWS / Low Income,Public Administration / Welfare,Financial Assistance / Grant,,,,,
National Family Benefit Scheme - Gujarat,https://www.myscheme.gov.in/schemes/nfbsguj,Gujarat,myscheme,"The scheme aims to provide social security to Below Poverty Line (BPL) households. Under the scheme, a one-time lump sum assistance of ₹20,000 is provided to the widow or unmarried daughter of the deceased, if the primary breadwinner, aged between 18 and 59 years, passes away.",Social Welfare,Women,All / Not Specified,BPL / EWS / Low Income,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Widow,BPL,Death,Family,Household,Social Security,Social Welfare,Women,BPL / EWS / Low Income,Widow,,,,,,
National Family Benefit Scheme - Sikkim,https://www.myscheme.gov.in/schemes/nfbs-sikkim,Sikkim,myscheme,"The scheme “National Family Benefit Scheme (NFBS)” was launched in 2016 by the Department of Women & Child Welfare, Govt. of Sikkim. Under this scheme, a lump sum amount of ₹ 30,000/- as financial assistance is provided to the bereaved household in the event of the death of the ""Primary breadwinner""",Social Welfare,Women,All / Not Specified,BPL / EWS / Low Income,Child,Public Administration / Welfare,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Below Poverty Line,Breadwinner,Direct Benefit Transfer,Family,Financial Assistance,Social Welfare,Women,BPL / EWS / Low Income,Child,Public Administration / Welfare,Financial Assistance / Grant,,,,
National Family Benefit Scheme - Uttar Pradesh,https://www.myscheme.gov.in/schemes/nfbsup,Uttar Pradesh,myscheme,National Family Benefit Scheme or NBFS was launched by the Uttar Pradesh state government to provide financial assistance to those families that are unable to earn the necessities in life.,Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Financial Assistance,National Family Benefit,Uttar Pradesh,Financial Assistance / Grant,Unable Earn,Life,Families,,,,,,,,
National Family Benefit Scheme for BPL Families,https://www.myscheme.gov.in/schemes/nfbsbpl,Haryana,myscheme,"The scheme ""National Family Benefit Scheme for BPL Families"" by the Social Justice and Empowerment Department, Government of Haryana, aims to provide one-time financial assistance to economically vulnerable families after the death of the primary breadwinner.",Social Welfare,All,All / Not Specified,BPL / EWS / Low Income,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,BPL,Death Compensation,Destitute,Family Benefit,Social Welfare,BPL / EWS / Low Income,Financial Assistance / Grant,Families Death,Economically Vulnerable,Vulnerable Families,,,,,
National Family Benefit Scheme- Bihar,https://www.myscheme.gov.in/schemes/nfbsb,Bihar,myscheme,"Under this scheme, one-time financial assistance of ₹20,000/- is provided to the bereaved family in the case of the sudden death of the earning member (breadwinner) of the family, provided the family is living below the poverty line (BPL).",Other / Uncategorized,All,All / Not Specified,BPL / EWS / Low Income,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,BPL,Breadwinner,Death,Family,Financial Assistance,BPL / EWS / Low Income,Financial Assistance / Grant,Case Sudden,Earning Member,Bereaved,,,,,
