scheme_name,link,authority,source,description,main_category,gender,caste_category,income_group,age_group,sector,benefit_type,occupation,disability_status,marital_family_status,raw_tag_1,raw_tag_2,raw_tag_3,raw_tag_4,raw_tag_5,raw_tag_6,raw_tag_7,raw_tag_8,raw_tag_9,raw_tag_10,raw_tag_11,raw_tag_12,raw_tag_13,raw_tag_14,raw_tag_15
Free Shoe and Bag Scheme,https://www.myscheme.gov.in/schemes/fsbsuk,Uttarakhand,myscheme,The scheme aims to provide financial assistance to students from Classes 1 to 8 studying in all government & government-aided schools for purchasing shoes & bags. An amount of ₹318/- per student for Classes 1 to 5 & ₹462/- per student for Classes 6 to 8 is provided through Direct Benefit Transfer.,Education,All,All / Not Specified,Not Specified,Student / Youth,General / Not Specified,Financial Assistance / Grant,Student,Not Specified,Not Specified,Free Bags,Free Shoes,Student,Education,Student / Youth,Financial Assistance / Grant,Classes,Government-aided Schools,Transfer,Direct,,,,,
Free Studentship,https://www.myscheme.gov.in/schemes/fs,Meghalaya,myscheme,"The ""Free Studentship"" initiative, administered by the Directorate of Higher & Technical Education, Meghalaya, is a state-sponsored program aimed at providing financial assistance to students belonging to the SC/ST/OBC categories for their tuition fees and other fee according to prescribed rates.",Education,All,SC,Not Specified,Student / Youth,Education,Financial Assistance / Grant,Student,Not Specified,Not Specified,Award,Education,Scholarship,Student,Studentship,SC,Student / Youth,Financial Assistance / Grant,,,,,,,
Free Supply of Note Books to the Children of Poor Widows,https://www.myscheme.gov.in/schemes/fsnbcpw,Tamil Nadu,myscheme,"The Social Welfare and Nutritious Meal Programme Department, Government of Tamil Nadu launched the ""Free Supply of Note Books to the Children of Poor Widows"" scheme to supply notebooks to children of poor widows studying up to higher secondary courses and govt. children homes and service homes.",Education,Women,All / Not Specified,BPL / EWS / Low Income,All Ages,Education,Infrastructure / In-kind,Not Specified,Not Specified,Widow,Children,Education,Notebook,Widow,Women,BPL / EWS / Low Income,Infrastructure / In-kind,Homes,Supply,Poor,,,,,
Free Supply of Rice to the Poor People,https://www.myscheme.gov.in/schemes/fsrpp,Puducherry,myscheme,"In this scheme, 10 kg of free rice is supplied to poor people through fair-price shops during natural calamities and on two important festive occasions every year. The beneficiaries are identified based on the data from the Civil Supplies and Consumer Affairs Department in Puducherry.",Social Welfare,All,All / Not Specified,BPL / EWS / Low Income,All Ages,Public Administration / Welfare,Infrastructure / In-kind,Not Specified,Not Specified,Not Specified,BPL,Food,Ration,Social Welfare,BPL / EWS / Low Income,Public Administration / Welfare,Infrastructure / In-kind,Data Civil,Based Data,Identified Based,,,,,
Free Supply of Sarees and Dhothies to the Poor People,https://www.myscheme.gov.in/schemes/fssdpp,Puducherry,myscheme,The scheme was introduced to provide two sets of clothing items to poor people (other than SC/Fisherman) once in a year as a measure of Social Security. The beneficiaries are identified based on the data from the Civil Supplies and Consumer Affairs Department in Puducherry.,Social Welfare,All,All / Not Specified,BPL / EWS / Low Income,Child,Public Administration / Welfare,Infrastructure / In-kind,Fisherman,Not Specified,Not Specified,Anganwadi,BPL,Clothes,Ration,Social Welfare,BPL / EWS / Low Income,Child,Public Administration / Welfare,Infrastructure / In-kind,Fisherman,,,,,
Free Supply of Text Books,https://www.myscheme.gov.in/schemes/fsotb,Delhi,myscheme,"The scheme provides textbooks or cash subsidies for textbooks and writing materials to students of Government and Aided Schools. Benefits include financial assistance ranging from ₹550/- to ₹830/- per annum, with additional support for geometry boxes. All students from Nursery to 12th are eligible.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Financial Assistance / Grant,Student,Not Specified,Not Specified,Book,Education,Financial Assistance,School,Student,Student / Youth,Financial Assistance / Grant,Cash Subsidies,Ranging Annum,Writing,,,,,
Free Training for Vehicle Drivers,https://www.myscheme.gov.in/schemes/ftvd,Uttarakhand,myscheme,"The scheme aims to improve the driving skills and employability of Scheduled Caste (SC) and Scheduled Tribe (ST) candidates by providing free, high-quality driving training, thereby reducing road accidents and promoting self-employment opportunities.",Employment & Skill Development,All,SC,Not Specified,All Ages,General / Not Specified,Skill Training,Not Specified,Not Specified,Not Specified,Driving Skills,Free Training,Scheduled Caste,Scheduled Tribe,Self-employment,Vehicle Driver,Employment & Skill Development,SC,Skill Training,,,,,,
Free Travel in S.T Bus to the Disabled Persons,https://www.myscheme.gov.in/schemes/ftstbdp,Gujarat,myscheme,"Under this scheme, the benefit of free travel in all types of busses of the Gujarat State Road Transport Corporation is provided to Person with Disabilities in all state routes and also provides the benefit of travel to the last route out of state.",Health,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Infrastructure / In-kind,Not Specified,Persons with Disability,Not Specified,Bus,Bus Pass,Disability,Free Travel,PwD,Health,Infrastructure / In-kind,Persons with Disability,,,,,,,
Free Travel in Uttarakhand Transport Corporation Buses to Widowed Daughters-in-Law of Freedom Fighters,https://www.myscheme.gov.in/schemes/ftutwd,Uttarakhand,myscheme,The scheme aims to provide free travel facilities in Uttarakhand Transport Corporation (UTC) buses to the widowed daughters-in-law of freedom fighters. Beneficiaries under this scheme are entitled to avail complimentary travel across all UTC bus services within the state.,Social Welfare,Women,All / Not Specified,Not Specified,All Ages,General / Not Specified,Infrastructure / In-kind,Not Specified,Not Specified,Widow,Free Bus Travel,Freedom Fighter,Transport Facilitiy,Widow,Social Welfare,Women,Infrastructure / In-kind,Complimentary,Free Travel,Transport Corporation,,,,,
Free Travelling Facility (HBOCWWB),https://www.myscheme.gov.in/schemes/ftfhbocwwb,,india_only,"Under this scheme, the amount spent by registered workers and 4 family members for visiting famous religious/historical places once in four years will be paid at the rates prescribed by Haryana Roadways (ordinary fare) or actual railway fare (Second Class).",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Infrastructure / In-kind,Unorganized Sector Worker,Not Specified,Not Specified,Free Travelling,Building Worker,Construction Worker,Labour,Historical Places,Religious Places,Infrastructure / In-kind,Unorganized Sector Worker,,,,,,,
